0.5 2.0
b1 305 380
b2 161 105
b3 49 158
b4 460 438
b5 144 1
b6 292 47
b7 233 245
b8 401 330
b9 100 130
b10 167 499
b11 39 34
b12 330 289
b13 189 304
b14 489 263
b15 49 349
hello 56 316
b17 479 374
b18 410 34
b19 136 491
NCTU 116 6
b21 465 770
b22 160 659
b23 68 232
wtf 362 847
b25 79 97
b26 147 193
b27 259 225
b28 301 184
b29 101 318
b30 476 62
b31 281 700
b32 140 633
b33 214 233
b34 196 187
hey!! 7 456
b36 468 354
b37 138 247
b38 208 226
b39 395 74
b40 272 71
b41 186 125
huh 282 600
b43 430 409
b44 71 380
b45 366 59
b46 230 115
b47 336 71
b48 207 679
b49 473 167
b50 158 104
b51 59 317
b52 89 570
b53 259 458
b54 209 2
b55 475 531
b56 30 129
b57 77 113
b58 442 661
b59 374 368
b60 138 117
b61 4 26
b62 413 443
b63 400 30
b64 119 206
b65 409 372
b66 320 97
b67 71 296
b68 398 442
b69 272 442
b70 478 680
b71 183 212
b72 456 491
b73 364 43
b74 306 488
b75 330 113
b76 149 32
b77 185 499
b78 336 443
b79 76 492
b80 83 392
b81 252 104
b82 54 364
b83 243 325
?????? 467 917
b85 42 130
b86 20 476
b87 315 310
b88 182 461
b89 436 1
b90 243 184
b91 154 197
b92 333 165
OOOMG 163 97
b94 160 179
b95 316 717
b96 460 134
b97 388 845
b98 152 604
b99 355 140
b9999 253 678
