0.5 2.0
b1 90 30
b2 60 50
b3 70 50
b4 20 10
b5 80 110
b6 50 60
b7 50 70
b8 50 70
b9 40 70
b10 40 30
b11 20 70
b12 30 60
b13 20 20
b14 90 120
b15 90 10
b16 100 130
b17 40 30
b18 20 50
b19 60 50
b20 90 100
b21 90 110
b22 90 100
b23 60 10
b24 10 20
b25 60 50
b26 100 110
b27 30 40
b28 70 40
b29 40 60
b30 30 50
b31 70 60
b32 80 10
b33 20 30
b34 30 40
b35 40 60
b36 70 100
b37 70 40
b38 20 10
b39 40 10
b40 90 80
b41 30 40
b42 70 60
b43 10 40
b44 70 70
b45 70 60
b46 40 60
b47 40 10
b48 100 110
b49 70 70
b50 10 20
b51 10 30
b52 20 30
b53 50 30
b54 20 10
b55 90 100
b56 50 30
b57 20 10
b58 100 130
b59 30 40
b60 20 30
b61 10 20
b62 30 50
b63 10 20
b64 50 70
b65 20 40
b66 100 100
b67 40 20
b68 60 90
b69 70 60
b70 10 40
b71 80 70
b72 100 90
b73 10 30
b74 10 100
b75 10 20
b76 10 60
b77 20 50
b78 40 80
b79 30 40
b80 90 90
b81 40 60
b82 60 90
b83 20 10
b84 30 50
b85 60 40
b86 10 40
b87 40 20
b88 90 120
b89 50 80
b90 20 40
b91 60 90
b92 30 10
b93 100 120
b94 90 70
b95 80 90
b96 80 110
b97 50 100
b98 90 120
b99 90 20
b100 60 90
b101 100 20
b102 40 90
b103 20 20
b104 40 30
b105 50 40
b106 80 60
b107 60 70
b108 90 70
b109 10 10
b110 90 70
b111 80 50
b112 10 20
b113 10 90
b114 70 90
b115 70 60
b116 10 10
b117 90 100
b118 80 70
b119 100 120
b120 90 60
b121 100 80
b122 20 30
b123 10 90
b124 60 90
b125 60 30
b126 90 60
b127 60 90
b128 70 90
b129 70 60
b130 90 60
b131 10 20
b132 50 60
b133 80 90
b134 100 70
b135 100 80
b136 70 10
b137 70 50
b138 20 10
b139 50 80
b140 60 70
b141 10 40
b142 70 100
b143 20 20
b144 90 70
b145 50 20
b146 10 40
b147 20 50
b148 90 110
b149 40 80
b150 80 80
b151 100 30
b152 80 80
b153 50 10
b154 60 70
b155 40 70
b156 50 60
b157 50 80
b158 20 40
b159 90 60
b160 30 60
b161 40 70
b162 60 30
b163 20 30
b164 30 100
b165 10 30
b166 50 70
b167 90 60
b168 90 70
b169 60 80
b170 50 100
b171 20 80
b172 40 10
b173 70 60
b174 100 110
b175 60 50
b176 50 30
b177 50 10
b178 80 60
b179 50 60
b180 90 60
b181 50 80
b182 80 60
b183 60 40
b184 30 40
b185 50 70
b186 20 30
b187 40 70
b188 20 50
b189 70 90
b190 70 80
b191 70 80
b192 10 20
b193 40 50
b194 10 10
b195 20 30
b196 90 120
b197 10 40
b198 90 50
b199 70 20
b200 70 60
